subindex,time,rssi,noise,nrx,ntx,lat,lon,node,role,pos,power,rate,size,distance
118,1900-01-01 16:41:10.698022047,,,,123.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
119,1900-01-01 16:41:10.819854769,,,,124.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
120,1900-01-01 16:41:10.941808713,,,,125.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
121,1900-01-01 16:41:10.635838430,,,,126.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
122,1900-01-01 16:41:10.185430584,,,,127.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
123,1900-01-01 16:41:10.307337954,,,,128.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
124,1900-01-01 16:41:10.429195657,,,,129.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
125,1900-01-01 16:41:11.551017435,,,,130.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
126,1900-01-01 16:41:11.672895583,,,,131.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
127,1900-01-01 16:41:11.794793065,,,,132.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
128,1900-01-01 16:41:11.916628194,,,,133.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
129,1900-01-01 16:41:11.384880090,,,,134.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
130,1900-01-01 16:41:11.160282398,,,,135.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
131,1900-01-01 16:41:11.282124601,,,,136.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
132,1900-01-01 16:41:11.404035101,,,,137.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
133,1900-01-01 16:41:12.525836675,,,,138.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
134,1900-01-01 16:41:12.647761768,,,,139.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
135,1900-01-01 16:41:12.769571675,,,,140.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
136,1900-01-01 16:41:12.891448342,,,,141.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
137,1900-01-01 16:41:12.133176200,,,,142.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
138,1900-01-01 16:41:12.135185656,,,,143.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
139,1900-01-01 16:41:12.257054082,,,,144.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
140,1900-01-01 16:41:12.378913323,,,,145.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
141,1900-01-01 16:41:12.500775490,,,,146.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
142,1900-01-01 16:41:13.622640952,,,,147.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
143,1900-01-01 16:41:13.744520360,,,,148.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
144,1900-01-01 16:41:13.866350045,,,,149.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
145,1900-01-01 16:41:13.988244619,,,,150.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
146,1900-01-01 16:41:13.110108952,,,,151.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
147,1900-01-01 16:41:13.231938193,,,,152.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
148,1900-01-01 16:41:13.353773248,,,,153.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
149,1900-01-01 16:41:13.475671637,,,,154.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
150,1900-01-01 16:41:14.597516433,,,,155.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
151,1900-01-01 16:41:14.719330285,,,,156.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
152,1900-01-01 16:41:14.841203267,,,,157.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
153,1900-01-01 16:41:14.963063507,,,,158.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
154,1900-01-01 16:41:14.849738780,,,,159.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
155,1900-01-01 16:41:14.206798822,,,,160.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
156,1900-01-01 16:41:14.328664822,,,,161.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
157,1900-01-01 16:41:14.450558063,,,,162.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
158,1900-01-01 16:41:15.572413340,,,,163.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
159,1900-01-01 16:41:15.694301099,,,,164.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
160,1900-01-01 16:41:15.816148803,,,,165.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
161,1900-01-01 16:41:15.937987359,,,,166.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
162,1900-01-01 16:41:15.598334700,,,,167.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
163,1900-01-01 16:41:15.181650821,,,,168.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
164,1900-01-01 16:41:15.303558932,,,,169.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
165,1900-01-01 16:41:15.425363247,,,,170.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
166,1900-01-01 16:41:16.547292358,,,,171.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
167,1900-01-01 16:41:16.669140747,,,,172.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
168,1900-01-01 16:41:16.790957377,,,,173.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
169,1900-01-01 16:41:16.912794747,,,,174.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
170,1900-01-01 16:41:16.347145800,,,,175.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
171,1900-01-01 16:41:16.156565432,,,,176.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
172,1900-01-01 16:41:16.278402154,,,,177.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
173,1900-01-01 16:41:16.400252284,,,,178.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
174,1900-01-01 16:41:17.522169821,,,,179.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
175,1900-01-01 16:41:17.643994283,,,,180.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
176,1900-01-01 16:41:17.765841265,,,,181.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
177,1900-01-01 16:41:17.887692246,,,,182.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
178,1900-01-01 16:41:17.966491300,,,,183.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
